"ArtistId","Name"
"1","Lolly"
"2","Nollie Murie"
"3","Stephannie Willoughway"
"4","Plumtree"
"5","Alfons Balint"
"6","Hetty Pordal"
"7","Giorgia Torr"
"8","Herta Damant"
"9","Lil Dulce"
"10","Kearney Meni"
"11","Alyosha Cuvley"
"12","Lona Jerg"
"13","Jemmy Bonanno"
"14","Ewart Drable"
"15","Alyssa Halsey"
"16","Tallulah Gollop"
"17","Barstow"
"18","Archie Sugden"
"19","Alecia Downton"
"20","Big Conny"
"21","Duke Loweth"
"22","Bryn Crunkhurn"
"23","Yalden"
"24","Olivie Borsi"
"25","Elspeth Genders"
"26","Ricardo"
"27","Franciska Wankling"
"28","Crysta Beuscher"
"29","Ralf Mahedy"
"30","Diddi"
"31","Adrianna Prout"
"32","Albertine Willsmore"
"33","Fanny"
"34","Hannis Garry"
"35","Nobe Tournay"
"36","Lorinda Farnes"
"37","Jami Schollick"
"38","Gabbie Benmore"
"39","Phaedra"
"40","Jase Copyn"
"41","Marline Sancias"
"42","Crissie Bissell"
"43","Valentine Hartridge"
"44","Giffie Dallaghan"
"45","Casper Gellion"
"46","Meaddow"
"47","Lyn Farnill"
"48","Etan Gilligan"
"49","Jenda Zorzenoni"
"50","Dasi Tonge"
"51","Ivette Spridgeon"
"52","Fraze Rettie"
"53","Rhodia Kitchingman"
"54","Lisabeth Docharty"
"55","Ade Medhurst"
"56","Sis Carlene"
"57","Irena Crudginton"
"58","Amberly Pinck"
"59","Allie Looks"
"60","Elisha Jacop"
"61","Gil G"
"62","Mandie Tinkham"
"63","Veronika Lindroos"
"64","Barnabas Petrello"
"65","Liva Tittletross"
"66","Collie Challens"
"67","Tessi T"
"68","Elonore Harcarse"
"69","Doe Alasdair"
"70","Tomaso Dumpleton"
"71","Jacquenetta Bunclark"
"72","Edmon"
"73","Gena Ongin"
"74","Faustina Halpeine"
"75","Ailina Lars"
"76","Collin Garvill"
"77","Jamie Fee Orchestra"
"78","Casar"
"79","Bernadina O'Dowd"
"80","Emilia Gile"
"81","Dehlia Powlett"
"82","Robbert"
"83","Sharia Selesnick"
"84","Carena Habbon"
"85","Hammad Bertrand"
"86","Zed Isakovitch"
"87","Moshe Ilsley"
"88","Terencio Breeder"
"89","Melisande Fansy"
"90","Dionisio Collier"
"91","Crysta Kirley"
"92","Andriette Staley"
"93","Thaddeus Roc"
"94","Blondy Starkings"
"95","Constanta Rosita"
"96","Codie And Alsopp"
"97","Tressa Casebourne"
"98","Lucias Mallya"
"99","Benedicto"
"100","Andy Siddaley"
