"TrackId","Name","AlbumId","MediaTypeId","GenreId","Composer","Milliseconds","Bytes","UnitPrice"
"1","Victor Grung","1","1","1","Abbott LLC","1992","-1824500787","0.99"
"2","Matrix","1","1","1","Abbott Kunde","1999","-1178747049","0.99"
"3","Project Chill","1","1","1","Abbott Satterfield","2008","573969676","0.99"
"4","methodical","1","1","1","Abbott Senger","1969","337428985","0.99"
"5","Opela Mann","1","1","1","Nectarinia chalybea","343719","1886000848","0.99"
"6","Karisa Metherell","1","1","1","Nectarinia chalybea","342562","327745193","0.99"
"7","BitChill","1","1","1","Kobus leche robertsi","230619","-1796976324","0.99"
"8","Henry Coolly","1","1","1","AbernathyCorwin","252051","1143853148","0.99"
"9","Aridatha Warman","1","1","1","Kobus leche robertsi","375418","1012545964","0.99"
"10","taskteller","1","1","1","Abshire and Sons","205662","-80160215","0.99"
"11","Emulation Rock","2","2","1","Abshire Inc","233926","2065034053","0.99"
"12","Graphic Interface","3","2","1","Abshire Inc","210834","499340027","0.99"
"13","Della Horn","3","2","1","Abshire-Cremin","203102","1147779466","0.99"
"14","Digitized","3","2","1","Adams Out Loud","263497","-1011063645","0.99"
"15","intangible","4","1","1","Adams Group","199836","-2042132628","0.99"
"16","toolsettunes","4","1","1","Adams Hamill and Senger","263288","1078434515","0.99"
"17","Grassbrassroots","4","1","1","Adams McKenzie and Auer","205688","-193391647","0.99"
"18","ljh","4","1","1","Anderson Group","270863","573590481","0.99"
"19","Latlux","4","1","1","Pytilia melba","331180","23719271","0.99"
"20","Neel Storrs","4","1","1","Pytilia melba","215196","-1999034371","0.99"
"21","Stim Brothers","4","1","1","Columba livia","366654","-957309899","0.99"
"22","Inverse","4","1","1","AndersonMurazik","267728","1585590843","0.99"
"23","freshthinking","5","1","1","Ankunding-Jones","325041","-1379741427","0.99"
"24","artificial intelligence","5","1","1","Armstrong Group","369319","361710279","0.99"
"25","Universal","5","1","1","Armstrong-Waters","254380","1321996063","0.99"
"26","groupware","5","1","1","Aufderhar Inc","323761","407635920","0.99"
"27","Fine Fran","5","1","1","Aufderhar-Raynor","295680","1382176513","0.99"
"28","Maryjane Joannet","5","1","1","Columba livia","321828","764117319","0.99"
"29","Selfenabling","5","1","1","Bahringer Group","264698","361372135","0.99"
"30","Standoveralone","5","1","1","Bahringer LLC","310622","-1887057672","0.99"
"31","Frontline","5","1","1","Braun Steuber and Dietrich","264855","-1728426378","0.99"
"32","Andalax","5","1","1","Junonia genoveua","330736","-1114195953","0.99"
"33","Lil George","5","1","1","Bailey Inc","309263","179719981","0.99"
